activity_nr,rel_type,rel_act_nr,rel_safety,rel_health,load_dt
344640412,C,1545524,,X,2020-08-17 00:28:26 EDT
344640438,C,1542595,,X,2020-08-17 00:28:26 EDT
344640446,C,1545604,X,,2020-08-17 00:28:26 EDT
344640453,C,1543897,X,,2020-08-17 00:28:26 EDT
344640461,R,1545544,X,,2020-08-17 00:28:26 EDT
344640479,I,1428093,,,2020-08-17 00:28:26 EDT
344640495,I,1396035,,X,2020-08-17 00:28:26 EDT
344640511,R,1545582,,X,2020-08-17 00:28:26 EDT
344640529,C,1544426,,X,2020-08-17 00:28:26 EDT
344640560,R,1545167,X,,2020-08-17 00:28:26 EDT
344640594,R,1545052,X,,2020-08-17 00:28:26 EDT
344640602,C,1541070,X,,2020-08-17 00:28:26 EDT
344640628,C,1516202,X,,2020-08-17 00:28:26 EDT
344640636,C,1544015,X,,2020-08-17 00:28:26 EDT
344640727,R,1545602,,X,2020-08-17 00:28:26 EDT
344640743,C,1544537,X,,2020-08-17 00:28:26 EDT
344640750,C,1545390,X,,2020-08-17 00:28:26 EDT
344640776,R,1545620,X,,2020-08-17 00:28:26 EDT
344640792,C,1543095,,X,2020-08-17 00:28:26 EDT
344640818,C,1544583,X,,2020-08-17 00:28:26 EDT
344640834,I,1406748,X,,2020-08-17 00:28:26 EDT
344640842,C,1542221,X,,2020-08-17 00:28:26 EDT
344640859,R,1540611,X,,2020-08-17 00:28:26 EDT
344640883,C,1545604,X,,2020-08-17 00:28:26 EDT
344640909,C,1544057,X,,2020-08-17 00:28:26 EDT
344640925,A,1545237,,,2020-08-17 00:28:26 EDT
344640941,R,1545096,X,,2020-08-17 00:28:26 EDT
344640982,A,1545633,,,2020-08-17 00:28:26 EDT
344641014,I,1270746,,X,2020-08-17 00:28:26 EDT
344641105,I,1440956,,,2020-08-17 00:28:26 EDT
344641113,C,1544061,X,,2020-08-17 00:28:26 EDT
344641121,R,1528380,,X,2020-08-17 00:28:26 EDT
344641162,I,1374869,,,2020-08-17 00:28:26 EDT
344641196,A,1545606,,,2020-08-17 00:28:26 EDT
344641204,R,1539946,X,,2020-08-17 00:28:26 EDT
344641212,R,1542441,X,,2020-08-17 00:28:26 EDT
344641220,C,1496747,,X,2020-08-17 00:28:26 EDT
344641238,C,1544135,X,,2020-08-17 00:28:26 EDT
344641246,C,1545265,X,,2020-08-17 00:28:26 EDT
344641279,R,1543738,,X,2020-08-17 00:28:26 EDT
344641287,C,1545265,X,,2020-08-17 00:28:26 EDT
344641311,C,1543923,X,,2020-08-17 00:28:26 EDT
344641311,C,1549126,X,,2020-08-17 00:28:26 EDT
344641329,A,1544654,,,2020-08-17 00:28:26 EDT
344641345,C,1534525,X,,2020-08-17 00:28:26 EDT
344641352,A,1544662,,,2020-08-17 00:28:26 EDT
344641394,R,1545288,,X,2020-08-17 00:28:26 EDT
344641394,R,1545288,X,,2020-08-17 00:28:26 EDT
344641402,C,1545387,X,,2020-08-17 00:28:26 EDT
344641451,C,1540435,,X,2020-08-17 00:28:26 EDT
344641451,I,1461029,,X,2020-08-17 00:28:26 EDT
344641477,A,1539261,,,2020-08-17 00:28:26 EDT
344641485,A,1545733,,,2020-08-17 00:28:26 EDT
344641493,R,1543581,X,,2020-08-17 00:28:26 EDT
344641501,R,1545744,X,,2020-08-17 00:28:26 EDT
344641519,,1545746,,,2020-08-17 00:28:26 EDT
344641535,R,1539878,,X,2020-08-17 00:28:26 EDT
344641568,A,1520432,,,2020-08-17 00:28:26 EDT
344641576,R,1545553,X,,2020-08-17 00:28:26 EDT
344641584,R,1545751,X,,2020-08-17 00:28:26 EDT
344641592,R,1543981,X,,2020-08-17 00:28:26 EDT
344641592,R,1543981,,X,2020-08-17 00:28:26 EDT
344641626,C,1543450,X,,2020-08-17 00:28:26 EDT
344641659,C,1544341,X,,2020-08-17 00:28:26 EDT
344641691,R,1545450,,X,2020-08-17 00:28:26 EDT
344641691,R,1545450,X,,2020-08-17 00:28:26 EDT
344641709,R,1545450,,X,2020-08-17 00:28:26 EDT
344641709,R,1545450,X,,2020-08-17 00:28:26 EDT
344641758,I,1392085,X,,2020-08-17 00:28:26 EDT
344641766,I,1369556,,X,2020-08-17 00:28:26 EDT
344641774,C,1528699,X,,2020-08-17 00:28:26 EDT
344641774,R,1539768,X,,2020-08-17 00:28:26 EDT
344641782,R,1544864,X,,2020-08-17 00:28:26 EDT
344641790,C,1530558,X,,2020-08-17 00:28:26 EDT
344641808,C,1544858,,X,2020-08-17 00:28:26 EDT
344641857,A,1541950,,,2020-08-17 00:28:26 EDT
344641865,A,1541950,,,2020-08-17 00:28:26 EDT
344641873,C,1541168,X,,2020-08-17 00:28:26 EDT
